City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
262,sao gabriel da cachoeira,-0.1303,-67.0892,22.18,99,100,0.31,BR,1670205733
263,saint-joseph,-21.3667,55.6167,22.21,81,13,3.52,RE,1670205734
264,saint-leu,-21.15,55.2833,23.46,76,11,0.73,RE,1670205734
265,caravelas,-17.7125,-39.2481,23.09,75,100,2.94,BR,1670205735
266,kamenka,51.3223,42.7678,-10.01,68,0,2.12,RU,1670205479
267,ponta delgada,37.7333,-25.6667,14.4,82,40,2.57,PT,1670205441
268,mount gambier,-37.8333,140.7667,14.88,61,99,5.65,AU,1670205736
269,jalu,29.0331,21.5482,14.71,55,5,3.48,LY,1670205737
270,lodja,-3.4833,23.4333,18.98,99,100,0.8,CD,1670205737
271,constitucion,-35.3333,-72.4167,13.17,82,0,5.77,CL,1670205738
272,husavik,66.0449,-17.3389,0.83,71,92,3.09,IS,1670205738
273,altamirano,16.8833,-92.15,11.33,98,16,0.05,MX,1670205739
274,ostrovnoy,68.0531,39.5131,-4.88,89,100,7.37,RU,1670205739
275,mackay,-21.15,149.2,26.27,61,0,4.06,AU,1670205740
276,gamba,-2.65,10.0,24.53,92,97,2.78,GA,1670205741
277,stornoway,58.2093,-6.3865,4.98,83,40,2.57,GB,1670205741
278,fredericksburg,38.3032,-77.4605,2.55,74,0,0.0,US,1670205471
279,payakumbuh,-0.2202,100.6308,23.67,83,100,0.65,ID,1670205742
280,tahta,26.7693,31.5021,14.64,76,0,4.97,EG,1670205743
281,luderitz,-26.6481,15.1594,15.15,72,0,7.47,NA,1670205743
282,aksu,41.1231,80.2644,-5.54,32,100,1.27,CN,1670205627
283,sisimiut,66.9395,-53.6735,0.0,68,100,6.32,GL,1670205744
284,bundu,23.1833,85.5833,15.12,45,1,1.47,IN,1670205744
285,port hedland,-20.3167,118.5667,41.03,14,12,6.17,AU,1670205745
286,conde,-7.2597,-34.9075,24.09,82,14,4.41,BR,1670205745
287,kerema,-7.9631,145.7785,29.13,63,99,3.3,PG,1670205746
288,saint-francois,46.4154,3.9054,2.69,93,100,1.03,FR,1670205454
289,bani walid,31.7566,13.9942,15.17,51,8,2.2,LY,1670205747
290,merauke,-8.4667,140.3333,29.99,62,100,2.52,ID,1670205748
291,bassar,9.25,0.7833,24.22,32,34,2.02,TG,1670205748
292,aliwal north,-30.6937,26.7114,16.24,47,100,7.12,ZA,1670205748
293,morbegno,46.1383,9.57,9.17,100,100,1.49,IT,1670205749
294,ayagoz,47.9714,80.4392,-19.08,100,100,1.77,KZ,1670205749
295,prince rupert,54.3161,-130.3201,0.58,65,0,1.59,CA,1670205750
296,george,-33.963,22.4617,14.97,75,72,2.97,ZA,1670205750
297,grimshaw,56.1834,-117.6027,-11.8,89,100,1.48,CA,1670205751
298,kango,0.1943,10.0951,22.84,98,13,0.52,GA,1670205751
299,funtua,11.5233,7.3081,20.02,31,0,4.55,NG,1670205752
300,ketchikan,55.3422,-131.6461,-0.61,80,3,3.3,US,1670205753
301,jablah,35.3614,35.9256,16.22,60,0,2.42,SY,1670205753
302,monroe,43.1501,-77.6831,1.82,61,20,4.63,US,1670205753
303,riverton,40.5219,-111.9391,9.76,68,75,1.79,US,1670205688
304,lagoa,39.05,-27.9833,15.38,67,62,4.1,PT,1670205754
